Time Passed (days),Orbital Period (days),Barycentric X Position of Alpha A (m),Barycentric Y Position of Alpha A (m),Barycentric X Position of Alpha B (m),Barycentric Y Position of Alpha B (m),Scalar Distance Between Both Masses (m),Radius of Alpha A from the Barycenter (m),Radius of Alpha B from the Barycenter (m),Orbital Velocity of Alpha A (m/s),Orbital Velocity of Alpha B (m/s),Kinetic Energy of Alpha A (J),Kinetic Energy of Alpha B (J),Relative Kinetic Energy Within the System (J),Gravitational Potential Energy (J),Total Mechanical Energy Within the System (J),Acceleration of Alpha A (m/s/s),Acceleration of Alpha B (m/s/s),Relative Net Acceleration (m/s/s)
0.0,29143.0723794471,760200000000.0,0.0,-919800000000.0,-0.0,1680000000000.0,760200000000.0,919800000000.0,23104.188481486548,21004.287243957075,5.8451486029992094e+38,3.9926797477712546e+38,9.837828350770465e+38,-1.5747772482142858e+38,-3.779465395714286e+37,4.280216482426304e-05,5.1788254676870744e-05,9.459041950113378e-05
29.172244624071173,29143.0723794471,760015698225.537,17723466324.96876,-919577005035.3181,-21444415056.177673,1680049336114.5662,760222324591.8412,919827011522.725,23103.74211227155,21003.88144449711,5.8449227505143305e+38,3.992525473397135e+38,9.837448223911465e+38,-1.5747310035064288e+38,-3.779465395714286e+37,4.2799651015345386e-05,5.178521310696486e-05,9.458486412231025e-05
58.344489248142345,29143.0723794471,759463127043.6498,35433836407.25838,-918908424434.0292,-42872984382.262886,1680197316683.8928,760289285799.4615,919908030884.4313,23102.403361427278,21002.664370488917,5.8442453997612456e+38,3.992062791467612e+38,9.836308191228857e+38,-1.5745923117062923e+38,-3.779465395714286e+37,4.279211233193672e-05,5.1776091716542225e-05,9.456820404847894e-05
87.51673387221352,29143.0723794471,758543287023.0568,53118059583.07794,-917795468829.0024,-64269917396.09983,1680443858482.304,760400845963.2426,920043012519.0614,23100.173298100337,21000.63699390615,5.843117170104832e+38,3.991292125055868e+38,9.8344092951607e+38,-1.5743612996327066e+38,-3.779465395714286e+37,4.277955699381198e-05,5.176090045107638e-05,9.454045744488836e-05
116.68897849628469,29143.0723794471,757257839613.211,70763175975.09059,-916240148482.283,-85619533362.12619,1680788823124.224,760556942463.7114,920231880660.5127,23097.053700027827,20997.800930910336,5.8415390913605626e+38,3.990214177603958e+38,9.831753268964521e+38,-1.5740381781468253e+38,-3.779465395714286e+37,4.276199866649456e-05,5.1739655845095626e-05,9.450165451159018e-05
145.86122312035587,29143.0723794471,755609097967.0134,88356360985.52727,-914245262181.0825,-106906315225.58272,1681232017547.4685,760757487940.2295,920474529607.239,23093.04704731003,20994.158436189566,5.839512600125555e+38,3.988829930416657e+38,9.828342530542212e+38,-1.5736232414008869e+38,-3.779465395714286e+37,4.273945641038928e-05,5.171238096063676e-05,9.445183737102604e-05
175.03346774442704,29143.0723794471,753600014234.1356,105884968701.55388,-911814381863.4016,-128114962130.60939,1681773194684.2244,761002370594.6116,920770824089.6128,23088.156513764134,20989.71239509808,5.8370395346845575e+38,3.9871406391818524e+38,9.82418017386641e+38,-1.5731168657951837e+38,-3.779465395714286e+37,4.2711954610164806e-05,5.167910530180161e-05,9.439105991196642e-05
204.20571236849824,29143.0723794471,751234163461.4503,123336573898.2955,-908951833138.4397,-149230440241.58405,1682412054314.7268,761291454577.414,921120599737.3129,23082.385955924976,20984.466313656667,5.834122128530194e+38,3.985147829544372e+38,9.819269958074567e+38,-1.5725195086512892e+38,-3.779465395714286e+37,4.2679522884944255e-05,5.163986470609278e-05,9.431938759103703e-05
233.37795699256938,29143.0723794471,748515724273.8672,140699012314.12494,-905662671911.4746,-170238031473.99646,1683148244096.7598,761624580453.7838,921523663642.976,23075.73989978096,20978.424306494195,5.830763002549656e+38,3.982853291768923e+38,9.81361629431858e+38,-1.5718317066122372e+38,-3.779465395714286e+37,4.264219598003748e-05,5.159470121341551e-05,9.423689719345299e-05
262.55020161664055,29143.0723794471,745449456540.0667,157960418910.4962,-901952657360.6332,-191123379786.73294,1683981360763.0525,762001565745.2812,921979795017.7712,23068.223525348178,20971.5910828237,5.826965155938926e+38,3.980259074533793e+38,9.80722423047272e+38,-1.571054073782149e+38,-3.779465395714286e+37,4.260001364107623e-05,5.154366291378836e-05,9.414367655486459e-05
